generation,bestRecord,genBestRecord,avgReward
0,-0.03011487,0,-272.9763
1,-0.00328766,-0.00328766,-38.06842
2,-0.00328766,-9999,-Infinity
3,-0.001537029,-0.001537029,-49.39165
4,-0.001537029,-9999,-Infinity
5,-0.0009583237,-0.0009583237,-182.4228
6,1298.402,1298.402,-111.7085
7,1351.639,1351.639,-28.09809
8,1351.639,-0.1837125,-125.9641
9,1552.63,1552.63,-22.53902
10,1552.63,-9999,-Infinity
11,1718.499,1718.499,86.38249
12,1718.499,1606.369,7.331789
